Key,en,hi,ar,es,fr
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,प्रसारण/आंतरिक अधिसूचना विन्यास,البث/تكوين الإخطار الداخلي,Configuración de transmisión/notificación interna,Configuration de diffusion/notification interne
Profile Image,Profile Image,प्रोफ़ाइल छवि,صورة الملف الشخصي,Imagen de perfil,Image de profil
Are you sure to delete ?,Are you sure to delete ?,क्या वाकई हटाना है ?,هل أنت متأكد من الحذف؟,¿Estás seguro de eliminar?,Etes-vous sûr de supprimer ?
Remove,Remove,निकालना,يزيل,Eliminar,Retirer
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,पासवर्ड रीसेट लिंक आपके ईमेल पते पर भेज दिया गया है।,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,Lien de réinitialisation du mot de passe envoyé à votre adresse e-mail.
Successfully updated password. Please login,Successfully updated password. Please login,पासवर्ड सफलतापूर्वक अपडेट किया गया. कृपया लॉगिन करें,تم تحديث كلمة المرور بنجاح. الرجاء تسجيل الدخول,Contraseña actualizada correctamente. Por favor inicia sesión,Mot de passe mis à jour avec succès. Veuillez vous connecter
Something went wrong! Please try again.,Something went wrong! Please try again.,कुछ गलत हो गया! कृपया पुन: प्रयास करें।,حدث خطأ ما! يرجى المحاولة مرة أخرى.,¡Algo salió mal! Por favor inténtalo de nuevo.,Quelque chose s'est mal passé ! Veuillez réessayer.
Car Area created successfully!,Car Area created successfully!,कार क्षेत्र सफलतापूर्वक बनाया गया!,تم إنشاء منطقة السيارة بنجاح!,¡Área de Autos creada exitosamente!,Zone de voiture créée avec succès !
Area Not Found,Area Not Found,क्षेत्र नहीं मिला,لم يتم العثور على المنطقة,Área no encontrada,Zone introuvable
Car Area updated successfully!,Car Area updated successfully!,कार क्षेत्र सफलतापूर्वक अपडेट किया गया!,تم تحديث منطقة السيارة بنجاح!,¡Área del automóvil actualizada con éxito!,Espace voiture mis à jour avec succès !
Car Area Deleted Successfully!,Car Area Deleted Successfully!,कार क्षेत्र सफलतापूर्वक हटा दिया गया!,تم حذف منطقة السيارة بنجاح!,¡Área del automóvil eliminada con éxito!,Zone de voiture supprimée avec succès !
Car Area status updated successfully!,Car Area status updated successfully!,कार क्षेत्र की स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة منطقة السيارة بنجاح!,¡El estado del área del automóvil se actualizó exitosamente!,Le statut de la zone automobile a été mis à jour avec succès !
Data fetch successfully,Data fetch successfully,डेटा सफलतापूर्वक लाया गया,تم جلب البيانات بنجاح,Recuperación de datos exitosa,Récupération des données réussie
Car already exists!,Car already exists!,कार पहले से मौजूद है!,السيارة موجودة بالفعل!,¡El coche ya existe!,La voiture existe déjà !
Car Created Successfully!,Car Created Successfully!,कार सफलतापूर्वक बनाई गई!,تم إنشاء السيارة بنجاح!,¡Coche creado con éxito!,Voiture créée avec succès !
Car status updated successfully!,Car status updated successfully!,कार की स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة السيارة بنجاح!,¡El estado del auto se actualizó exitosamente!,Statut de la voiture mis à jour avec succès !
Car Does not exists,Car Does not exists,कार मौजूद नहीं है,السيارة غير موجودة,El auto no existe,La voiture n'existe pas
Car Updated Successfully!,Car Updated Successfully!,कार सफलतापूर्वक अपडेट हो गई!,تم تحديث السيارة بنجاح!,¡Coche actualizado con éxito!,Voiture mise à jour avec succès !
Car Deleted Successfully!,Car Deleted Successfully!,कार सफलतापूर्वक हटा दी गई!,تم حذف السيارة بنجاح!,¡Coche eliminado con éxito!,Voiture supprimée avec succès !
Car Type created successfully!,Car Type created successfully!,कार का प्रकार सफलतापूर्वक बनाया गया!,تم إنشاء نوع السيارة بنجاح!,¡Tipo de auto creado exitosamente!,Type de voiture créé avec succès !
Car Type updated successfully!,Car Type updated successfully!,कार का प्रकार सफलतापूर्वक अपडेट किया गया!,تم تحديث نوع السيارة بنجاح!,¡Tipo de auto actualizado exitosamente!,Type de voiture mis à jour avec succès !
Car Type Deleted Successfully!,Car Type Deleted Successfully!,कार का प्रकार सफलतापूर्वक हटाया गया!,تم حذف نوع السيارة بنجاح!,¡Tipo de auto eliminado exitosamente!,Type de voiture supprimé avec succès !
Car Type status updated successfully!,Car Type status updated successfully!,कार के प्रकार की स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة نوع السيارة بنجاح!,¡El estado del tipo de automóvil se actualizó exitosamente!,Le statut du type de voiture a été mis à jour avec succès !
Permission created successfully!,Permission created successfully!,अनुमति सफलतापूर्वक बनाई गई!,تم إنشاء الإذن بنجاح!,¡Permiso creado exitosamente!,Autorisation créée avec succès !
Target not found!,Target not found!,लक्ष्य नहीं मिला!,لم يتم العثور على الهدف!,¡Objetivo no encontrado!,Cible introuvable !
Permission not found!,Permission not found!,अनुमति नहीं मिली!,لم يتم العثور على إذن!,¡Permiso no encontrado!,Autorisation introuvable !
Permission updated successfully!,Permission updated successfully!,अनुमति सफलतापूर्वक अपडेट की गई!,تم تحديث الإذن بنجاح!,¡Permiso actualizado exitosamente!,Autorisation mise à jour avec succès !
Permission deleted successfully!,Permission deleted successfully!,अनुमति सफलतापूर्वक हटा दी गई!,تم حذف الإذن بنجاح!,¡Permiso eliminado exitosamente!,Autorisation supprimée avec succès !
Role permission not found!,Role permission not found!,भूमिका की अनुमति नहीं मिली!,لم يتم العثور على إذن الدور!,¡Permiso de rol no encontrado!,Autorisation de rôle introuvable !
Permission assign successfully!,Permission assign successfully!,अनुमति सफलतापूर्वक असाइन की गई!,تم تعيين الإذن بنجاح!,¡El permiso se asignó correctamente!,Attribution d'autorisation réussie !
Can't deletable system super admin,Can't deletable system super admin,सिस्टम सुपर एडमिन को हटाया नहीं जा सकता,لا يمكن حذف المشرف المتميز للنظام,No se puede eliminar el superadministrador del sistema,Impossible de supprimer le super-administrateur système
Admin deleted successfully!,Admin deleted successfully!,व्यवस्थापक सफलतापूर्वक हटा दिया गया!,تم حذف المشرف بنجاح!,¡El administrador se eliminó exitosamente!,Administrateur supprimé avec succès !
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,ऑनबोर्ड स्क्रीन सफलतापूर्वक जोड़ी गई!,تمت إضافة الشاشة على متن الطائرة بنجاح!,¡Pantalla integrada agregada con éxito!,Écran intégré ajouté avec succès !
Onboard screen not found!,Onboard screen not found!,ऑनबोर्ड स्क्रीन नहीं मिली!,لم يتم العثور على الشاشة على متن الطائرة!,¡No se encontró la pantalla integrada!,Écran embarqué introuvable !
Onboard screen status updated successfully!,Onboard screen status updated successfully!,ऑनबोर्ड स्क्रीन स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!,¡El estado de la pantalla integrada se actualizó correctamente!,L'état de l'écran intégré a été mis à jour avec succès !
